id,x,y,z,yaw,speed
0,6.096,0.0,1.5,,1
1,6.096,4.812631578947368,1.5,,1
2,6.096,9.625263157894736,1.5,,1
3,6.096,14.437894736842104,1.5,,1
4,6.096,19.25052631578947,1.5,,1
5,6.096,24.06315789473684,1.5,,1
6,6.096,28.875789473684208,1.5,,1
7,6.096,33.688421052631575,1.5,,1
8,6.096,38.50105263157894,1.5,,1
9,6.096,43.31368421052631,1.5,,1
10,6.096,48.12631578947368,1.5,,1
11,6.096,52.938947368421054,1.5,,1
12,6.096,57.751578947368415,1.5,,1
13,6.096,62.56421052631579,1.5,,1
14,6.096,67.37684210526315,1.5,,1
15,6.096,72.18947368421053,1.5,,1
16,6.096,77.00210526315789,1.5,,1
17,6.096,81.81473684210526,1.5,,1
18,6.096,86.62736842105262,1.5,,1
19,6.096,91.44,1.5,,1
20,8.128,91.44,1.5,,1
21,8.128,86.62736842105264,1.5,,1
22,8.128,81.81473684210526,1.5,,1
23,8.128,77.00210526315789,1.5,,1
24,8.128,72.18947368421053,1.5,,1
25,8.128,67.37684210526317,1.5,,1
26,8.128,62.56421052631579,1.5,,1
27,8.128,57.75157894736842,1.5,,1
28,8.128,52.938947368421054,1.5,,1
29,8.128,48.126315789473686,1.5,,1
30,8.128,43.31368421052632,1.5,,1
31,8.128,38.50105263157894,1.5,,1
32,8.128,33.68842105263158,1.5,,1
33,8.128,28.875789473684208,1.5,,1
34,8.128,24.063157894736847,1.5,,1
35,8.128,19.25052631578947,1.5,,1
36,8.128,14.43789473684211,1.5,,1
37,8.128,9.625263157894736,1.5,,1
38,8.128,4.812631578947375,1.5,,1
39,8.128,0.0,1.5,,1
40,10.16,0.0,1.5,,1
41,10.16,4.812631578947368,1.5,,1
42,10.16,9.625263157894736,1.5,,1
43,10.16,14.437894736842104,1.5,,1
44,10.16,19.25052631578947,1.5,,1
45,10.16,24.06315789473684,1.5,,1
46,10.16,28.875789473684208,1.5,,1
47,10.16,33.688421052631575,1.5,,1
48,10.16,38.50105263157894,1.5,,1
49,10.16,43.31368421052631,1.5,,1
50,10.16,48.12631578947368,1.5,,1
51,10.16,52.938947368421054,1.5,,1
52,10.16,57.751578947368415,1.5,,1
53,10.16,62.56421052631579,1.5,,1
54,10.16,67.37684210526315,1.5,,1
55,10.16,72.18947368421053,1.5,,1
56,10.16,77.00210526315789,1.5,,1
57,10.16,81.81473684210526,1.5,,1
58,10.16,86.62736842105262,1.5,,1
59,10.16,91.44,1.5,,1
60,12.192,91.44,1.5,,1
61,12.192,86.62736842105264,1.5,,1
62,12.192,81.81473684210526,1.5,,1
63,12.192,77.00210526315789,1.5,,1
64,12.192,72.18947368421053,1.5,,1
65,12.192,67.37684210526317,1.5,,1
66,12.192,62.56421052631579,1.5,,1
67,12.192,57.75157894736842,1.5,,1
68,12.192,52.938947368421054,1.5,,1
69,12.192,48.126315789473686,1.5,,1
70,12.192,43.31368421052632,1.5,,1
71,12.192,38.50105263157894,1.5,,1
72,12.192,33.68842105263158,1.5,,1
73,12.192,28.875789473684208,1.5,,1
74,12.192,24.063157894736847,1.5,,1
75,12.192,19.25052631578947,1.5,,1
76,12.192,14.43789473684211,1.5,,1
77,12.192,9.625263157894736,1.5,,1
78,12.192,4.812631578947375,1.5,,1
79,12.192,0.0,1.5,,1
80,6.096,0.0,1.5,,1
